lat_deg,f00_off_log2,f00_on_log2,f00_off_dev,f00_on_dev,f32_off_log2,f32_on_log2,f32_off_dev,f32_on_dev,f64_off_log2,f64_on_log2,f64_off_dev,f64_on_dev
4.175,-3.34992,-3.14847,-0.16110,0.04848,-3.36020,-3.16125,-0.15579,0.04401,-3.33150,-3.15962,-0.13853,0.05044
4.087,-3.34705,-3.14460,-0.15742,0.05319,-3.35833,-3.15892,-0.15313,0.04715,-3.32919,-3.15717,-0.13541,0.05371
3.999,-3.34623,-3.14252,-0.15578,0.05612,-3.35093,-3.15171,-0.14494,0.05517,-3.32690,-3.15474,-0.13231,0.05695
3.911,-3.35165,-3.14586,-0.16038,0.05362,-3.34576,-3.14649,-0.13897,0.06120,-3.32746,-3.15480,-0.13206,0.05771
3.823,-3.35960,-3.15140,-0.16751,0.04892,-3.34498,-3.14514,-0.13740,0.06337,-3.33000,-3.15659,-0.13378,0.05673
3.735,-3.36796,-3.15613,-0.17506,0.04505,-3.34733,-3.14704,-0.13895,0.06228,-3.32794,-3.15483,-0.13090,0.05931
3.647,-3.37202,-3.16176,-0.17829,0.04026,-3.34867,-3.15115,-0.13948,0.05899,-3.32836,-3.15813,-0.13050,0.05682
3.560,-3.36827,-3.16326,-0.17372,0.03960,-3.34816,-3.15391,-0.13817,0.05704,-3.32923,-3.16208,-0.13055,0.05368
3.472,-3.35903,-3.15801,-0.16365,0.04571,-3.34541,-3.15474,-0.13462,0.05703,-3.33086,-3.16599,-0.13136,0.05060
3.384,-3.35124,-3.15398,-0.15503,0.05059,-3.34465,-3.15734,-0.13306,0.05525,-3.32991,-3.16744,-0.12958,0.04997
3.296,-3.34357,-3.15001,-0.14654,0.05540,-3.34166,-3.15796,-0.12926,0.05545,-3.32461,-3.16503,-0.12345,0.05320
3.208,-3.33617,-3.14746,-0.13830,0.05881,-3.33902,-3.16002,-0.12581,0.05421,-3.31633,-3.16100,-0.11435,0.05805
3.120,-3.32698,-3.14529,-0.12827,0.06183,-3.33419,-3.16205,-0.12018,0.05300,-3.30624,-3.15702,-0.10343,0.06285
3.032,-3.31827,-3.14352,-0.11873,0.06445,-3.32384,-3.15910,-0.10902,0.05678,-3.29439,-3.15140,-0.09074,0.06930
2.944,-3.30712,-3.13952,-0.10674,0.06931,-3.31309,-3.15575,-0.09745,0.06095,-3.28246,-3.14564,-0.07798,0.07589
